date                ,no ,x and y    ,xend and yend ,kosong ,car id ,jam dibuat ,jam isi  ,jam kosong
22:27:51 Sun-21-Jul,1,"(33, 117)","(170, 233)",Iya,,22:27:43,,22:27:52
22:27:51 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:52,
22:27:52 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:52,
22:27:52 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:52,
22:27:52 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:52,
22:27:52 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:52,
22:27:52 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:52,
22:27:52 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:52,
22:27:52 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:52,
22:27:52 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:52,
22:27:52 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:53,
22:27:52 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:53,
22:27:53 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:53,
22:27:53 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:53,
22:27:53 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:53,
22:27:53 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:53,
22:27:53 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:53,
22:27:53 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:53,
22:27:53 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:53,
22:27:53 Sun-21-Jul,2,"(204, 102)","(331, 203)",Tidak,1,22:27:49,22:27:53,
22:27:53 Sun-21-Jul,1,"(33, 117)","(170, 233)",Tidak,2,22:27:43,22:27:54,
