date                ,no ,x and y      ,xend and yend
22:27:53 Sun-21-Jul,3,"(250, 227)","(481, 212)"
22:27:53 Sun-21-Jul,1,"(96, 185)","(313, 170)"
22:27:53 Sun-21-Jul,2,"(3, 150)","(159, 135)"
22:27:53 Sun-21-Jul,3,"(249, 232)","(482, 217)"
22:27:53 Sun-21-Jul,1,"(101, 183)","(312, 168)"
22:27:53 Sun-21-Jul,2,"(4, 153)","(135, 138)"
22:27:53 Sun-21-Jul,3,"(248, 229)","(481, 214)"
22:27:53 Sun-21-Jul,1,"(118, 179)","(318, 164)"
22:27:53 Sun-21-Jul,2,"(4, 153)","(143, 138)"
22:27:53 Sun-21-Jul,3,"(249, 227)","(481, 212)"
22:27:53 Sun-21-Jul,1,"(123, 179)","(322, 164)"
22:27:53 Sun-21-Jul,2,"(5, 153)","(144, 138)"
22:27:53 Sun-21-Jul,3,"(249, 234)","(482, 219)"
22:27:54 Sun-21-Jul,1,"(123, 179)","(322, 164)"
22:27:54 Sun-21-Jul,2,"(5, 153)","(144, 138)"
22:27:54 Sun-21-Jul,3,"(249, 234)","(482, 219)"
22:27:54 Sun-21-Jul,1,"(130, 180)","(327, 165)"
22:27:54 Sun-21-Jul,2,"(5, 153)","(144, 138)"
22:27:54 Sun-21-Jul,3,"(249, 235)","(482, 220)"
22:27:54 Sun-21-Jul,1,"(138, 178)","(329, 163)"
22:27:54 Sun-21-Jul,2,"(6, 153)","(143, 138)"
22:27:54 Sun-21-Jul,3,"(254, 233)","(480, 218)"
22:27:54 Sun-21-Jul,1,"(146, 173)","(340, 158)"
22:27:54 Sun-21-Jul,2,"(5, 153)","(145, 138)"
22:27:54 Sun-21-Jul,3,"(255, 233)","(480, 218)"
22:27:55 Sun-21-Jul,1,"(151, 172)","(340, 157)"
22:27:55 Sun-21-Jul,2,"(5, 153)","(144, 138)"
22:27:55 Sun-21-Jul,3,"(257, 233)","(479, 218)"
22:27:55 Sun-21-Jul,1,"(166, 171)","(342, 156)"
22:27:55 Sun-21-Jul,2,"(5, 153)","(145, 138)"
22:27:55 Sun-21-Jul,3,"(259, 234)","(479, 219)"
22:27:55 Sun-21-Jul,1,"(174, 170)","(341, 155)"
22:27:55 Sun-21-Jul,2,"(5, 153)","(145, 138)"
22:27:55 Sun-21-Jul,3,"(263, 233)","(479, 218)"
22:27:55 Sun-21-Jul,1,"(178, 168)","(341, 153)"
22:27:55 Sun-21-Jul,2,"(5, 153)","(145, 138)"
22:27:55 Sun-21-Jul,3,"(264, 235)","(479, 220)"
22:27:55 Sun-21-Jul,1,"(186, 169)","(339, 154)"
